538.8440001010895,
1.3010001182556152,
9.181999921798706,
329.2689998149872,
15.942999839782715,
63.34599995613098,
0.9490001201629639,
53.24000000953674,
921.4979999065399,
2.559999942779541,
4.9070000648498535,
78.23900008201599,
31.272000074386597,
3.4819998741149902,
81.75799989700317,
1.1419999599456787,
1.0900001525878906,
72.95799994468689,
49.735000133514404,
267.8589999675751,
27.941999912261963,
4.2840001583099365,
32.9300000667572,
1.0309998989105225,
1.2369999885559082,
4.828000068664551,
306.1820001602173,
163.7350001335144,
252.6619999408722,
372.9949998855591,
78.5789999961853,
3488.673000097275,
4.5950000286102295,
1.4710001945495605,
1.1159999370574951,
1.3480000495910645,
2.6529998779296875,
5.565999984741211,
39.65599989891052,
1.2100000381469727,
84.60699987411499,
3.0220000743865967,
2.9019999504089355,
5.164000034332275,
1.690000057220459,
0.8389999866485596,
3.5819997787475586,
1.180999994277954,
3.6039998531341553,
161.4630000591278,
33.02199983596802,
245.37800002098083,
49.989999771118164,
0.9110000133514404,
5.531999826431274,
7.825999975204468,
6.1590001583099365,
1.2279999256134033,
20.19099998474121,
4.992000102996826,
3.9709999561309814,
3.133000135421753,
7.766999959945679,
1.0079998970031738,
9.003999948501587,
1.747999906539917,
5.371000051498413,
3.7179999351501465,
5.181999921798706,
3.370000123977661,
27.403000116348267,
5.555999994277954,
21.388999938964844,
3.809999942779541,
2.503000020980835,
36.1489999294281,
13.838000059127808,
0.9540002346038818,
134.07100009918213,
127.83999991416931,
33.66499996185303,
1.3950002193450928,
78.30799984931946,
251.3880000114441,
5.990000009536743,
190.57000017166138,
15.36299991607666,
31.668999910354614,
0.9409999847412109,
335.1410000324249,
101.09299993515015,
1.062999963760376,
96.66000008583069,
311.5069999694824,
42.59100008010864,
38.82599997520447,
2.9700000286102295,
62.4760000705719,
262.5369999408722,
3085.8410000801086,
26.443000078201294,
40.67400002479553,
62.18400001525879,
0.810999870300293,
1.0429999828338623,
61.83200001716614,
6.755000114440918,
4.299999952316284,
6.333999872207642,
12.71399998664856,
31.519999980926514,
7.855999946594238,
53.84100008010864,
85.54199981689453,
87.58299994468689,
304.9869999885559,
1.187000036239624,
